,Station ID,XCNAQ111,XCNAQ107,XCNAQ1196,XCNAQ455,XCNAQ106,XCNAQ108,XCNAQ110,XCNAQ109,XCNAQ630,XCNAQ631,XCNAQ629,XCNAQ642,XCNAQ643,XCNAQ644,XCNAQ639,XCNAQ638,XCNAQ641,XCNAQ640,XCNAQ636,XCNAQ637,XCNAQ633,XCNAQ632,XCNAQ634,XCNAQ635,CN_1124A,CN_1121A,CN_1123A,CN_1120A,CN_1128A,CN_1125A,CN_1126A,CN_1122A,CN_1119A,CN_1127A
0,Latitude,43.8358,43.7256,43.9530,45.6176,43.8875,43.8947,43.8256,43.8228,43.1594,43.1847,43.1747,42.8939,42.9061,42.8775,45.1642,45.0878,45.6175,45.6289,41.9206,41.9418,42.8953,42.8947,41.7156,41.7381,43.7878,43.8748,43.8694,43.9099,43.8500,43.5500,43.8667,43.8400,43.9167,43.8167
1,Longitude,126.5844,126.6772,126.4738,122.8095,126.5550,126.5786,126.5500,126.4978,124.3711,124.3897,124.3419,129.4892,129.5042,129.3675,124.8528,124.8292,122.8211,122.8444,126.4047,126.4078,125.1567,125.1358,125.9361,125.9486,125.4540,125.3649,125.3250,125.2870,125.2170,125.6330,125.4170,125.2786,125.3230,125.2500
2,Time,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------
33,2013/01/31 00:00:00,61.3684,56.9375,-99999.0000,-99999.0000,76.4118,-99999.0000,71.4706,129.2941,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,151.3913,192.2381,192.7727,194.9545,172.5714,-99999.0000,191.5714,199.3000,203.4286,183.2778
34,2013/02/01 00:00:00,49.4211,53.0476,-99999.0000,-99999.0000,71.6000,-99999.0000,46.7222,52.9444,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,69.9583,-99999.0000,66.6250,73.9583,62.8333,67.8750,79.3333,65.1176,-99999.0000,-99999.0000
35,2013/02/02 00:00:00,32.0000,29.1765,-99999.0000,-99999.0000,46.0556,-99999.0000,27.5000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,46.9167,81.2727,90.6087,78.0476,81.4000,59.6522,70.3333,83.9565,-99999.0000,-99999.0000
36,2013/02/03 00:00:00,42.7778,37.4211,-99999.0000,-99999.0000,80.8421,-99999.0000,46.8889,70.7000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,70.8182,94.3750,99.5417,100.9545,89.4348,62.9048,88.1667,102.8261,103.6364,-99999.0000
37,2013/02/04 00:00:00,30.9000,-99999.0000,-99999.0000,-99999.0000,71.7000,-99999.0000,27.8889,42.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,80.8095,87.0000,93.3500,79.4348,82.9474,80.8571,83.6087,86.7727,-99999.0000
38,2013/02/05 00:00:00,87.1000,47.4444,-99999.0000,-99999.0000,124.6500,-99999.0000,77.7500,133.1000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,170.1739,169.0000,188.8500,146.2727,-99999.0000,166.2000,143.7059,178.1000,166.1000
39,2013/02/06 00:00:00,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,157.3750,120.6250,122.3913,124.7273,126.4545,127.6522,119.0417,131.7917,139.2857
40,2013/02/07 00:00:00,-99999.0000,46.0526,-99999.0000,-99999.0000,93.6000,-99999.0000,42.0588,61.4118,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,90.1333,87.3043,88.5217,92.0455,90.5455,79.8636,87.2000,95.9545,95.3913,-99999.0000
41,2013/02/08 00:00:00,32.9412,27.7059,-99999.0000,-99999.0000,84.2778,-99999.0000,44.3684,101.8000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,79.0000,127.0833,122.6667,118.5417,137.5417,126.6000,122.2727,125.2727,119.5833,123.9444
42,2013/02/09 00:00:00,96.1000,51.8000,-99999.0000,-99999.0000,178.7647,-99999.0000,142.8421,138.8667,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,190.8333,199.0500,204.8333,220.5263,214.4286,181.7500,177.8947,207.7727,203.9545,235.5000
