,Station ID,CB_R,CL_R,CW_A,EN_A,PH1,PH5,PHSUP,KC_A,KT_A,MKaR,ST_A,SP_A,TP_A,MB_A,TK_A,TW_A,TM_A,TC_A,YL_A,XCNAQ259
88,2013/03/27 00:00:00,32.0417,23.1667,29.6667,15.3750,-99999.0000,-99999.0000,-99999.0000,22.2500,16.0909,32.4583,19.1667,20.0833,21.1667,13.9130,-99999.0000,19.7917,-99999.0000,20.1667,21.5000,-99999.0000
89,2013/03/28 00:00:00,27.0870,21.0455,24.1111,11.7917,-99999.0000,-99999.0000,-99999.0000,13.4583,11.9583,20.7083,10.3750,14.8750,10.1667,11.1250,-99999.0000,14.3478,-99999.0000,11.5417,15.5833,-99999.0000
90,2013/03/29 00:00:00,34.0000,23.8750,30.1250,19.0833,-99999.0000,-99999.0000,-99999.0000,22.2500,19.2083,28.2917,16.5000,20.9167,21.3750,19.7083,-99999.0000,22.3333,-99999.0000,26.5000,23.5833,-99999.0000
91,2013/03/30 00:00:00,30.5000,22.1667,-99999.0000,17.3333,-99999.0000,-99999.0000,-99999.0000,13.7826,16.5833,21.0417,13.4583,17.5833,14.8750,17.5417,-99999.0000,16.3750,-99999.0000,12.0455,17.0833,-99999.0000
92,2013/03/31 00:00:00,32.0833,23.0000,28.3500,20.2917,-99999.0000,-99999.0000,-99999.0000,14.7500,18.9583,20.6250,15.3333,20.5417,16.9583,20.2500,-99999.0000,18.1304,-99999.0000,14.2500,17.3333,-99999.0000
93,2013/04/01 00:00:00,39.3750,30.9583,30.5417,24.4583,22.3417,25.4354,-99999.0000,21.7500,24.3333,25.0833,19.7917,26.5417,19.8333,24.7500,-99999.0000,23.2917,-99999.0000,20.7917,24.3750,-99999.0000
94,2013/04/02 00:00:00,55.1250,44.2917,44.3750,37.4583,30.1737,31.9279,-99999.0000,33.8750,38.0417,39.8333,33.2917,38.1667,33.9583,34.2917,-99999.0000,31.2727,-99999.0000,22.7917,31.0000,-99999.0000
95,2013/04/03 00:00:00,56.0909,47.6250,54.7500,43.4167,36.4254,39.6208,-99999.0000,47.3333,42.7917,49.4167,44.0833,43.5833,47.9167,45.1667,-99999.0000,42.5417,-99999.0000,31.0526,43.7500,-99999.0000
96,2013/04/04 00:00:00,38.8750,30.0417,36.5833,25.3333,21.8071,26.8812,-99999.0000,24.1667,25.4583,36.3750,24.2500,26.3750,28.3333,33.0833,-99999.0000,24.0417,-99999.0000,18.3333,22.5417,-99999.0000
97,2013/04/05 00:00:00,-99999.0000,34.3333,24.5000,17.1304,-99999.0000,25.4321,-99999.0000,27.7083,25.2083,27.4583,20.1250,22.7083,18.7917,15.0000,-99999.0000,26.6667,-99999.0000,16.2083,20.7500,-99999.0000
98,2013/04/06 00:00:00,44.2778,28.5217,29.4348,20.0870,19.0529,24.5908,-99999.0000,22.6087,22.1739,24.2609,20.7391,20.1739,20.3478,21.3043,-99999.0000,20.9565,-99999.0000,20.0000,20.3043,-99999.0000
99,2013/04/07 00:00:00,45.8750,34.3478,36.3333,31.2500,26.5783,28.4525,-99999.0000,29.8333,29.9167,32.5417,28.2083,31.7500,29.2500,31.5000,-99999.0000,33.5000,-99999.0000,24.1250,33.1250,-99999.0000
100,2013/04/08 00:00:00,59.0417,47.7083,51.1250,41.6667,38.4192,44.4700,-99999.0000,44.9167,40.0417,49.0833,44.6250,42.7391,44.5000,39.5000,-99999.0000,45.6667,-99999.0000,36.9583,46.8333,-99999.0000
101,2013/04/09 00:00:00,33.7619,21.0000,24.5833,14.9524,20.8125,30.6750,-99999.0000,16.6667,14.9167,25.5217,17.6250,19.5000,21.3810,16.4167,-99999.0000,18.6250,-99999.0000,21.7917,23.7083,-99999.0000
102,2013/04/10 00:00:00,-99999.0000,45.0417,48.8750,41.4583,40.4925,46.6242,-99999.0000,46.2381,40.0833,48.6667,42.9583,42.1250,45.8696,42.5417,-99999.0000,40.5833,-99999.0000,37.8750,44.2917,-99999.0000
103,2013/04/11 00:00:00,48.5000,43.7083,44.1250,33.2500,36.1342,44.9883,-99999.0000,41.5833,34.5217,40.8333,40.1667,33.8333,43.9583,33.2083,-99999.0000,34.2500,-99999.0000,34.9167,42.7273,-99999.0000
104,2013/04/12 00:00:00,39.1739,28.4091,32.9583,25.6250,25.9163,30.8667,-99999.0000,29.8333,26.9167,31.7000,26.5833,27.8750,28.0000,22.9565,-99999.0000,26.5909,-99999.0000,25.3750,29.7083,-99999.0000
105,2013/04/13 00:00:00,46.2857,37.3750,37.2500,31.6522,35.9379,42.4075,-99999.0000,33.2917,31.9167,39.8750,28.3333,35.1250,29.0000,30.5000,-99999.0000,34.2174,-99999.0000,38.4583,40.0833,-99999.0000
