,Station ID,XCNAQ1067,XCNAQ1066,XCNAQ1068,XCNAQ346,XCNAQ1063,XCNAQ1065,XCNAQ1064,XCNAQ1071,XCNAQ1070,XCNAQ1069,XCNAQ2872,XCNAQ2873,XCNAQ017,XCNAQ478,XCNAQ1213,CN_1489A,CN_1487A,CN_1486A,XCNAQ1214,XCNAQ1212,CN_1488A,CN_1484A,CN_1485A
0,Latitude,37.0172,37.4514,37.5002,39.1447,37.9647,37.9722,37.9844,36.0210,36.0022,36.1417,39.0153,39.2282,38.8170,39.1292,38.4841,38.5036,38.4858,38.4536,38.4949,38.4413,38.4975,38.6016,38.4744
1,Longitude,105.1800,105.0197,105.1971,106.6752,106.1532,106.1960,106.2025,106.2375,106.2792,106.2319,106.3717,106.7704,106.3394,106.7097,106.2739,106.1358,106.0720,106.2170,106.1024,106.2275,106.2328,105.9512,106.2680
2,Time,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------
2092,2018/09/21 00:00:00,18.1304,-99999.0000,15.2174,15.7917,12.6087,11.3478,13.0435,29.3333,28.5417,24.2174,17.4375,17.0588,13.4167,16.8333,23.1667,16.4167,-99999.0000,-99999.0000,26.0417,15.9565,26.5833,21.0417,-99999.0000
2093,2018/09/22 00:00:00,36.5833,19.8824,32.1667,17.5000,34.2083,19.0833,23.7500,31.0455,26.0000,28.3750,-99999.0000,-99999.0000,24.8750,16.8750,21.2500,20.0417,-99999.0000,-99999.0000,27.7917,18.9167,30.7083,18.1250,-99999.0000
2094,2018/09/23 00:00:00,49.9167,-99999.0000,41.4583,7.9474,10.1667,12.3750,11.6667,25.2500,24.5833,25.7917,23.9167,7.9474,24.3750,7.7917,20.9167,18.2000,-99999.0000,-99999.0000,27.3750,16.5455,29.8750,14.6250,-99999.0000
2095,2018/09/24 00:00:00,45.4000,40.6250,36.6842,26.9565,21.2609,24.9565,24.5217,25.7619,26.0000,25.2174,26.8696,26.9565,28.0455,23.5217,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000
2096,2018/09/25 00:00:00,19.0000,-99999.0000,12.2500,25.6087,14.4545,15.8636,13.1667,12.2500,11.1250,12.8182,31.1000,25.6087,20.4348,30.6364,29.7826,25.9333,-99999.0000,-99999.0000,39.9565,-99999.0000,29.2609,29.7083,-99999.0000
2097,2018/09/26 00:00:00,17.2917,-99999.0000,13.6667,11.6667,10.7083,10.3333,9.8636,12.5417,12.4167,12.9167,21.8571,12.1053,16.7917,10.7917,21.2500,18.4583,-99999.0000,-99999.0000,28.4348,13.2500,16.2917,25.8261,-99999.0000
2098,2018/09/27 00:00:00,44.3750,46.1250,40.4583,-99999.0000,35.5000,29.2609,29.9583,14.9545,18.2500,23.2083,21.6957,-99999.0000,15.0833,22.0000,24.3333,22.5417,-99999.0000,-99999.0000,33.6667,20.0833,30.5417,25.0833,-99999.0000
2099,2018/09/28 00:00:00,21.1818,-99999.0000,15.0909,23.0000,31.2857,22.7273,27.0476,19.3636,24.9091,22.9091,15.3636,23.0000,17.3636,14.7619,20.2273,19.9091,-99999.0000,-99999.0000,34.3182,19.4500,24.9091,15.8636,-99999.0000
2100,2018/09/29 00:00:00,19.5000,-99999.0000,16.2083,20.9565,19.9545,16.0833,17.1667,15.5000,21.5833,23.9583,10.0870,21.0909,11.5000,11.4583,19.9524,19.3333,-99999.0000,-99999.0000,30.9167,15.2500,26.2917,23.7917,-99999.0000
2101,2018/09/30 00:00:00,21.6190,-99999.0000,15.0417,13.5833,22.9167,16.4167,19.0833,16.0417,20.8750,23.6250,9.0833,13.5833,12.0000,10.7500,15.1579,18.5417,-99999.0000,-99999.0000,27.0000,14.2083,28.1667,16.3750,-99999.0000
2102,2018/10/01 00:00:00,23.4583,12.8750,23.1304,29.2500,25.4583,22.6667,16.2500,16.3182,31.0000,20.7391,-99999.0000,-99999.0000,31.0435,20.2917,26.6522,20.8333,-99999.0000,-99999.0000,34.0833,26.2727,32.4783,20.7917,-99999.0000
2103,2018/10/02 00:00:00,70.4783,36.6522,59.5000,38.0000,63.7826,36.6522,39.2500,14.9583,18.3333,22.1818,-99999.0000,-99999.0000,49.1579,27.8696,32.0833,33.5217,-99999.0000,-99999.0000,45.7391,31.7917,39.9583,27.2609,-99999.0000
2104,2018/10/03 00:00:00,48.6364,36.6522,39.3043,19.3333,53.4348,28.6250,28.6522,19.8750,24.7083,24.1667,-99999.0000,-99999.0000,59.5714,20.3333,35.2917,34.9583,-99999.0000,-99999.0000,51.6667,40.7391,42.9583,31.4167,-99999.0000
2105,2018/10/04 00:00:00,37.8750,19.3333,27.9583,40.1667,26.7917,24.0833,24.9167,22.1667,24.4583,22.7917,-99999.0000,-99999.0000,54.4167,38.2917,36.4583,34.2083,-99999.0000,-99999.0000,46.5217,28.6087,44.8333,24.7917,-99999.0000
2106,2018/10/05 00:00:00,19.6667,16.0417,15.4583,17.3750,26.8750,23.0833,26.0000,21.6667,21.6250,28.8333,-99999.0000,-99999.0000,13.7083,12.8750,22.7917,26.6250,-99999.0000,-99999.0000,33.6250,19.6522,-99999.0000,26.1667,-99999.0000
